ID_values,Stranding_ID_Number,Sex,Straightline_Carapace_Length,Growth_Rate,Age,Year
1,Cm 018,Female,30.5,2.4,5,2004
2,Cm 018,Female,33.3,3.2,6,2005
3,Cm 018,Female,37.1,4.4,7,2006
4,Cm 018,Female,41.3,3.9,8,2007
5,Cm 018,Female,45.5,4.7,9,2008
6,Cm 018,Female,50.2,4.6,10,2009
7,Cm 024,Male,33.9,2.6,7,2004
8,Cm 024,Male,36.4,2.5,8,2005
9,Cm 024,Male,40.3,5.2,9,2006
10,Cm 024,Male,45,4.1,10,2007
11,Cm 024,Male,48.7,3.3,11,2008
12,Cm 024,Male,51.5,2.3,12,2009
13,Cm 026,Male,35.8,1.2,8,2002
14,Cm 026,Male,36.7,0.6,9,2003
15,Cm 026,Male,37.3,0.5,10,2004
16,Cm 026,Male,38.7,2.3,11,2005
17,Cm 026,Male,42.4,5,12,2006
18,Cm 026,Male,46.4,3,13,2007
19,Cm 026,Male,49.5,3.3,14,2008
20,Cm 026,Male,52.7,3,15,2009
21,Cm 030,Female,22,3.2,1,2005
22,Cm 030,Female,25.1,2.8,2,2006
23,Cm 030,Female,28.1,3.3,3,2007
24,Cm 030,Female,30.5,1.5,4,2008
25,Cm 030,Female,31.9,1.3,5,2009
26,Cm 032,Male,25.2,4.3,3,2008
27,Cm 032,Male,30.5,6.3,4,2009
28,Cm 046,Female,37,2.2,8,2005
29,Cm 046,Female,40.2,4.2,9,2006
30,Cm 046,Female,44.5,4.4,10,2007
31,Cm 046,Female,49.1,4.7,11,2008
32,Cm 046,Female,53.2,3.5,12,2009
33,Cm 048,Female,28.2,0.4,5,2003
34,Cm 048,Female,30.3,3.7,6,2004
35,Cm 048,Female,34,3.8,7,2005
36,Cm 048,Female,37.9,4.1,8,2006
37,Cm 048,Female,41.1,2.3,9,2007
38,Cm 048,Female,44,3.4,10,2008
39,Cm 048,Female,47.4,3.5,11,2009
40,Cm 049,Female,34.7,1.4,6,2003
41,Cm 049,Female,37.2,3.6,7,2004
42,Cm 049,Female,40.7,3.4,8,2005
43,Cm 049,Female,44.5,4.3,9,2006
44,Cm 049,Female,48.1,2.9,10,2007
45,Cm 049,Female,51.3,3.6,11,2008
46,Cm 049,Female,54.1,1.9,12,2009
47,Cm 053,Female,25.9,4.4,4,2006
48,Cm 053,Female,29.1,1.9,5,2007
49,Cm 053,Female,31.1,2.2,6,2008
50,Cm 053,Female,33.7,2.9,7,2009
51,Cm 056,Male,27.3,3.3,4,2006
52,Cm 056,Male,31.4,4.8,5,2007
53,Cm 056,Male,35.3,3.1,6,2008
54,Cm 056,Male,38.9,4.1,7,2009
55,Cm 058,Male,34.3,2.5,7,2005
56,Cm 058,Male,38.6,6.1,8,2006
57,Cm 058,Male,43.9,4.4,9,2007
58,Cm 058,Male,47.9,3.6,10,2008
59,Cm 058,Male,52,4.6,11,2009
60,Cm 060,Female,34.6,4.1,7,2004
61,Cm 060,Female,38.4,3.5,8,2005
62,Cm 060,Female,43.5,6.7,9,2006
63,Cm 060,Female,49.3,4.9,10,2007
64,Cm 060,Female,54.1,4.8,11,2008
65,Cm 060,Female,57.4,1.8,12,2009
66,Cm 063,Female,27.9,2.9,5,2006
67,Cm 063,Female,31.5,4.2,6,2007
68,Cm 063,Female,36.4,5.5,7,2008
69,Cm 063,Female,41,3.8,8,2009
70,Cm 065,Female,16.9,2.9,1,2008
71,Cm 065,Female,19,1.4,2,2009
72,Cm 068,Male,37,3.9,8,2005
73,Cm 068,Male,41.1,4.3,9,2006
74,Cm 068,Male,45.5,4.6,10,2007
75,Cm 068,Male,49.8,4.1,11,2008
76,Cm 068,Male,54.1,4.5,12,2009
77,Cm 070,Female,35.7,4.2,7,2004
78,Cm 070,Female,39.6,3.7,8,2005
79,Cm 070,Female,44.7,6.6,9,2006
80,Cm 070,Female,50.6,5.1,10,2007
81,Cm 070,Female,55.7,5,11,2008
82,Cm 070,Female,59.1,1.9,12,2009
83,Cm 071,Male,35.7,3.6,6,2004
84,Cm 071,Male,38.7,2.3,7,2005
85,Cm 071,Male,42.5,5.3,8,2006
86,Cm 071,Male,47.3,4.4,9,2007
87,Cm 071,Male,51.9,4.7,10,2008
88,Cm 071,Male,56.1,3.7,11,2009
89,Cm 072,Female,35.8,1.2,7,2002
90,Cm 072,Female,37.9,2.9,8,2003
91,Cm 072,Female,40.4,2.1,9,2004
92,Cm 072,Female,43.2,3.5,10,2005
93,Cm 072,Female,47.9,6,11,2006
94,Cm 072,Female,52.9,4.1,12,2007
95,Cm 072,Female,56.4,2.8,13,2008
96,Cm 072,Female,59.5,3.4,14,2009
97,Cm 073,Male,32.9,2.7,7,2004
98,Cm 073,Male,36,3.6,8,2005
99,Cm 073,Male,39.8,4.1,9,2006
100,Cm 073,Male,43.5,3.3,10,2007
101,Cm 073,Male,47,3.7,11,2008
102,Cm 073,Male,50.6,3.5,12,2009
103,Cm 080,Female,15.4,2.3,1,2008
104,Cm 080,Female,17.4,1.6,2,2009
105,Cm NME0110(Day11)_013,Female,58.1,2.9,13,2001
106,Cm NME0110(Day11)_013,Female,60.3,1.3,14,2002
107,Cm NME0110(Day11)_013,Female,62.6,3.3,15,2003
108,Cm NME0110(Day11)_013,Female,65.9,3.2,16,2004
109,Cm NME0110(Day11)_013,Female,69.9,4.7,17,2005
110,Cm NME0110(Day11)_013,Female,73.6,2.8,18,2006
111,Cm NME0110(Day11)_013,Female,75.8,1.5,19,2007
112,Cm NME0110(Day11)_013,Female,77.1,1.1,20,2008
113,Cm NME0110(Day11)_013,Female,78,0.9,21,2009
114,Cm NME100108_070,Female,18.4,5.2,1,2009
115,Cm NME100109_009,Female,31.6,4.2,5,1998
116,Cm NME100109_009,Female,37,6.7,6,1999
117,Cm NME100109_009,Female,42.2,3.7,7,2000
118,Cm NME100109_009,Female,45.5,2.8,8,2001
119,Cm NME100109_009,Female,49.1,4.5,9,2002
120,Cm NME100109_009,Female,53.8,4.9,10,2003
121,Cm NME100109_009,Female,56.3,0.2,11,2004
122,Cm NME100109_009,Female,56.8,0.8,12,2005
123,Cm NME100109_009,Female,57.4,0.4,13,2006
124,Cm NME100109_009,Female,58.2,1.3,14,2007
125,Cm NME100109_009,Female,59.2,0.7,15,2008
126,Cm NME100109_009,Female,60.2,1.3,16,2009
127,Cm NME100109_014,Male,21.3,3.8,1,2006
128,Cm NME100109_014,Male,24.5,2.8,2,2007
129,Cm NME100109_014,Male,27,2.2,3,2008
130,Cm NME100109_014,Male,29,1.7,4,2009
131,Cm NME100109_018,Female,29.7,4.3,5,2007
132,Cm NME100109_018,Female,33.5,3.2,6,2008
133,Cm NME100109_018,Female,37.1,4,7,2009
134,Cm NME100109_022,Male,28.9,2.6,5,2003
135,Cm NME100109_022,Male,30.4,0.5,6,2004
136,Cm NME100109_022,Male,31.7,2.2,7,2005
137,Cm NME100109_022,Male,34.5,3.4,8,2006
138,Cm NME100109_022,Male,39.3,6.2,9,2007
139,Cm NME100109_022,Male,44.9,5,10,2008
140,Cm NME100109_022,Male,49.7,4.5,11,2009
141,Cm NME100109_026,Male,20.8,3.3,1,2008
142,Cm NME100109_026,Male,23.8,2.7,2,2009
143,Cm NME100109_031,Male,33,2.1,6,2002
144,Cm NME100109_031,Male,35.4,2.8,7,2003
145,Cm NME100109_031,Male,38.5,3.4,8,2004
146,Cm NME100109_031,Male,41.6,2.8,9,2005
147,Cm NME100109_031,Male,45.3,4.5,10,2006
148,Cm NME100109_031,Male,49.3,3.5,11,2007
149,Cm NME100109_031,Male,52.9,3.5,12,2008
150,Cm NME100109_031,Male,55.8,2.3,13,2009
151,Cm NME100109_034,Female,41.6,2,9,2002
152,Cm NME100109_034,Female,44.3,3.4,10,2003
153,Cm NME100109_034,Female,49.3,6.8,11,2004
154,Cm NME100109_034,Female,55.6,5.8,12,2005
155,Cm NME100109_034,Female,61.1,5.2,13,2006
156,Cm NME100109_034,Female,65.8,4.3,14,2007
157,Cm NME100109_034,Female,69.3,2.6,15,2008
158,Cm NME100109_034,Female,71.4,1.7,16,2009
159,Cm NME100109_038,Female,21.3,3.8,1,2005
160,Cm NME100109_038,Female,24.6,2.8,2,2006
161,Cm NME100109_038,Female,26.7,1.4,3,2007
162,Cm NME100109_038,Female,27.9,1.1,4,2008
163,Cm NME100109_038,Female,28.7,0.6,5,2009
164,Cm NME100109_039,Female,21.5,5.3,1,2007
165,Cm NME100109_039,Female,26.4,4.4,2,2008
166,Cm NME100109_039,Female,31.9,6.5,3,2009
167,Cm NME100109_048,Female,22.2,2.9,2,2006
168,Cm NME100109_048,Female,24.1,1,3,2007
169,Cm NME100109_048,Female,26.4,3.5,4,2008
170,Cm NME100109_048,Female,29.9,3.7,5,2009
171,Cm NME100109_053,Male,19.9,2.1,1,2007
172,Cm NME100109_053,Male,22.1,2.2,2,2008
173,Cm NME100109_053,Male,24.9,3.5,3,2009
174,Cm NME100109_056,Female,15.7,3.5,1,2008
175,Cm NME100109_056,Female,17.7,0.7,2,2009
176,Cm NME100109_063,Male,19.9,1.7,1,2005
177,Cm NME100109_063,Male,21.9,2.3,2,2006
178,Cm NME100109_063,Male,24.5,2.8,3,2007
179,Cm NME100109_063,Male,28.1,4.5,4,2008
180,Cm NME100109_063,Male,31.9,3.1,5,2009
181,Cm NME100109_064,Male,34.4,4.3,6,2004
182,Cm NME100109_064,Male,38.8,4.6,7,2005
183,Cm NME100109_064,Male,42.9,3.8,8,2006
184,Cm NME100109_064,Male,46.1,2.6,9,2007
185,Cm NME100109_064,Male,49.2,3.6,10,2008
186,Cm NME100109_064,Male,52,2,11,2009
187,Cm NME100109_066,Female,34.8,3.3,7,2004
188,Cm NME100109_066,Female,37.8,2.7,8,2005
189,Cm NME100109_066,Female,41.3,4.2,9,2006
190,Cm NME100109_066,Female,45.5,4.2,10,2007
191,Cm NME100109_066,Female,50.3,5.3,11,2008
192,Cm NME100109_066,Female,55,4.2,12,2009
193,Cm NME100109_075,Male,26.7,2.5,4,2006
194,Cm NME100109_075,Male,28.9,2,5,2007
195,Cm NME100109_075,Male,31.7,3.6,6,2008
196,Cm NME100109_075,Male,35.4,3.8,7,2009
197,Cm NME100109_078,Male,27.1,2,4,2006
198,Cm NME100109_078,Male,28.7,1.3,5,2007
199,Cm NME100109_078,Male,31,3.2,6,2008
200,Cm NME100109_078,Male,34.4,3.6,7,2009
201,Cm NME100109_080_2,Male,18,3.1,1,2007
202,Cm NME100109_080_2,Male,20.8,2.6,2,2008
203,Cm NME100109_080_2,Male,22.8,1.3,3,2009
204,Cm NME100109_090,Female,30.7,2.9,5,2007
205,Cm NME100109_090,Female,33.9,3.6,6,2008
206,Cm NME100109_090,Female,37.5,3.5,7,2009
207,Cm NME100109_092,Male,24.5,3.4,3,2006
208,Cm NME100109_092,Male,28.3,4.2,4,2007
209,Cm NME100109_092,Male,32.9,5.1,5,2008
210,Cm NME100109_092,Male,35.9,1,6,2009
211,Cm NME100109_118,Female,17.7,1.6,1,2008
212,Cm NME100109_118,Female,19.9,2.9,2,2009
213,Cm NME100109_120,Male,19.7,5.8,1,2007
214,Cm NME100109_120,Male,24.5,3.8,2,2008
215,Cm NME100109_120,Male,28.3,3.7,3,2009
216,Cm NME100109_121,Female,20.6,7.6,1,2008
217,Cm NME100109_121,Female,25.8,2.8,2,2009
218,Cm NME100109_124,Male,19.5,1.7,1,2006
219,Cm NME100109_124,Male,20.8,0.7,2,2007
220,Cm NME100109_124,Male,22.7,3.2,3,2008
221,Cm NME100109_124,Male,25.9,3.2,4,2009
222,Cm NME100109_129,Male,25.1,6.9,1,2008
223,Cm NME100109_129,Male,31.5,5.9,2,2009
224,Cm NME100109_132,Female,19.7,1.7,1,2005
225,Cm NME100109_132,Female,21.5,1.8,2,2006
226,Cm NME100109_132,Female,22.7,0.7,3,2007
227,Cm NME100109_132,Female,23.8,1.5,4,2008
228,Cm NME100109_132,Female,25.6,2,5,2009
229,Cm NME100109_139,Female,17.7,3.1,1,2005
230,Cm NME100109_139,Female,20.6,2.8,2,2006
231,Cm NME100109_139,Female,22.7,1.4,3,2007
232,Cm NME100109_139,Female,23.7,0.7,4,2008
233,Cm NME100109_139,Female,24.4,0.8,5,2009
234,Cm NME100109_150,Male,23.4,2.5,2,2007
235,Cm NME100109_150,Male,26.2,3,3,2008
236,Cm NME100109_150,Male,30.1,4.8,4,2009
237,Cm NME100109_156,Female,20.9,3,1,2009
238,Cm NME100110_001,Female,40.8,3.1,10,2004
239,Cm NME100110_001,Female,44.6,4.6,11,2005
240,Cm NME100110_001,Female,49.7,5.6,12,2006
241,Cm NME100110_001,Female,54.3,3.6,13,2007
242,Cm NME100110_001,Female,57.9,3.4,14,2008
243,Cm NME100110_001,Female,61.5,3.9,15,2009
244,Cm NME100110_002,Female,37.5,2.7,7,2005
245,Cm NME100110_002,Female,41,4.3,8,2006
246,Cm NME100110_002,Female,45.2,4.1,9,2007
247,Cm NME100110_002,Female,49.8,5.2,10,2008
248,Cm NME100110_002,Female,54.6,4.4,11,2009
249,Cm NME100110_003,Female,34.7,3,6,2004
250,Cm NME100110_003,Female,37.8,3.1,7,2005
251,Cm NME100110_003,Female,41.5,4.3,8,2006
252,Cm NME100110_003,Female,45.6,3.9,9,2007
253,Cm NME100110_003,Female,49.9,4.7,10,2008
254,Cm NME100110_003,Female,53.6,2.7,11,2009
255,Cm NME100110_008,Female,22.9,2.4,1,2005
256,Cm NME100110_008,Female,25,1.9,2,2006
257,Cm NME100110_008,Female,29.7,7.5,3,2007
258,Cm NME100110_008,Female,35.5,4.1,4,2008
259,Cm NME100110_008,Female,39.2,3.2,5,2009
260,Cm NME100110_010,Female,22.4,1.7,2,2005
261,Cm NME100110_010,Female,24.2,1.8,3,2006
262,Cm NME100110_010,Female,26.8,3.3,4,2007
263,Cm NME100110_010,Female,29.7,2.6,5,2008
264,Cm NME100110_010,Female,31.7,1.4,6,2009
265,Cm NME100110_013,Male,28.8,5,4,2008
266,Cm NME100110_013,Male,33.3,4,5,2009
267,Cm NME100110_016,Female,28.4,6.9,4,2006
268,Cm NME100110_016,Female,33.9,4.1,5,2007
269,Cm NME100110_016,Female,38,4.3,6,2008
270,Cm NME100110_016,Female,42.3,4.3,7,2009
271,Cm NME100110_021,Male,22.4,2.1,1,2005
272,Cm NME100110_021,Male,24.5,2,2,2006
273,Cm NME100110_021,Male,26.8,2.6,3,2007
274,Cm NME100110_021,Male,30.2,4.3,4,2008
275,Cm NME100110_021,Male,35.2,5.6,5,2009
276,Cm NME100110_025,Female,33.3,1.4,7,2004
277,Cm NME100110_025,Female,35.5,3,8,2005
278,Cm NME100110_025,Female,39.1,4.1,9,2006
279,Cm NME100110_025,Female,43,3.8,10,2007
280,Cm NME100110_025,Female,47,4.2,11,2008
281,Cm NME100110_025,Female,50.6,3,12,2009
282,Cm NME100110_028,Female,25.7,2.4,3,2008
283,Cm NME100110_028,Female,29.4,4.9,4,2009
284,Cm NME100110_029,Female,34.7,3.5,7,2005
285,Cm NME100110_029,Female,38.4,4,8,2006
286,Cm NME100110_029,Female,42.1,3.2,9,2007
287,Cm NME100110_029,Female,45.5,3.7,10,2008
288,Cm NME100110_029,Female,49.1,3.4,11,2009
289,Cm NME100110_031,Male,19,3.2,1,2007
290,Cm NME100110_031,Male,23,4.8,2,2008
291,Cm NME100110_031,Male,27.1,3.4,3,2009
292,Cm NME100110_032,Female,23.1,3.4,2,2007
293,Cm NME100110_032,Female,25.9,2.2,3,2008
294,Cm NME100110_032,Female,27.8,1.6,4,2009
295,Cm NME100110_034,Male,23.8,5.5,1,2007
296,Cm NME100110_034,Male,27.7,2.3,2,2008
297,Cm NME100110_034,Male,29.6,1.4,3,2009
298,Cm NME100110_039,Male,33.7,3.6,6,2005
299,Cm NME100110_039,Male,38.5,6.1,7,2006
300,Cm NME100110_039,Male,43.9,4.7,8,2007
301,Cm NME100110_039,Male,48.6,4.7,9,2008
302,Cm NME100110_039,Male,53,4.1,10,2009
303,Cm NME100110_041,Male,27.9,2.6,4,2006
304,Cm NME100110_041,Male,31.6,4.7,5,2007
305,Cm NME100110_041,Male,36.1,4.4,6,2008
306,Cm NME100110_041,Male,40.7,4.7,7,2009
307,Cm NME100110_044,Female,20.3,4.4,1,2004
308,Cm NME100110_044,Female,23.9,2.8,2,2005
309,Cm NME100110_044,Female,27.6,4.5,3,2006
310,Cm NME100110_044,Female,30.7,1.7,4,2007
311,Cm NME100110_044,Female,32.6,2.2,5,2008
312,Cm NME100110_044,Female,34.9,2.2,6,2009
313,Cm NME100110_050,Female,30.4,2.4,5,2005
314,Cm NME100110_050,Female,33.5,3.8,6,2006
315,Cm NME100110_050,Female,37.5,4.2,7,2007
316,Cm NME100110_050,Female,42,5,8,2008
317,Cm NME100110_050,Female,45.8,2.5,9,2009
318,Cm NME100110_051,Male,20.9,3.2,2,2006
319,Cm NME100110_051,Male,24.1,3.1,3,2007
320,Cm NME100110_051,Male,26.6,1.9,4,2008
321,Cm NME100110_051,Male,28.9,2.8,5,2009
322,Cm NME100110_053,Male,23.7,3.2,1,2005
323,Cm NME100110_053,Male,26.7,2.7,2,2006
324,Cm NME100110_053,Male,30,4,3,2007
325,Cm NME100110_053,Male,34,4,4,2008
326,Cm NME100110_053,Male,37.5,3.1,5,2009
327,Cm NME100110_054,Male,20.8,4.8,1,2008
328,Cm NME100110_054,Male,24.7,3.2,2,2009
329,Cm NME100110_057,Male,18.6,5.1,1,2009
330,Cm NME100110_077,Female,33.1,3.3,6,2004
331,Cm NME100110_077,Female,36.1,2.8,7,2005
332,Cm NME100110_077,Female,39.5,4.1,8,2006
333,Cm NME100110_077,Female,43.8,4.5,9,2007
334,Cm NME100110_077,Female,47.8,3.3,10,2008
335,Cm NME100110_077,Female,50.9,2.9,11,2009
336,Cm NME100111_003,Female,34.5,3,7,2005
337,Cm NME100111_003,Female,38.5,5,8,2006
338,Cm NME100111_003,Female,42.9,3.7,9,2007
339,Cm NME100111_003,Female,47.3,5.2,10,2008
340,Cm NME100111_003,Female,52.3,4.8,11,2009
341,Cm NME100111_029,Male,24.4,4.7,3,2006
342,Cm NME100111_029,Male,29.2,5,4,2007
343,Cm NME100111_029,Male,33.9,4.3,5,2008
344,Cm NME100111_029,Male,39,5.9,6,2009
345,Cm NME100111_031,Female,21.6,2,1,2006
346,Cm NME100111_031,Female,25.1,4.9,2,2007
347,Cm NME100111_031,Female,29.9,4.6,3,2008
348,Cm NME100111_031,Female,34.7,5,4,2009
349,Cm NME100111_035,Male,28.1,3.4,4,2006
